timestamp,sum_conso,mean_conso,min_conso,max_conso,first_conso,last_conso,median_conso,airTemperature,dewTemperature,precipDepth6HR,seaLvlPressure,windDirection,windSpeed,month,day_of_week
2016-01-01,2287.2015,95.30006250000001,89.3438,178.6877,89.3438,107.2126,89.3438,23.291666666666668,19.625,0.0,1018.6636363636363,150.41666666666666,2.5208333333333335,1,4
2016-01-02,2287.2018,95.30007499999999,71.4751,125.0814,89.3438,89.3438,89.3438,18.3625,14.15,0.0,1018.8333333333334,157.5,4.133333333333334,1,5
2016-01-03,2519.4959,104.97899583333333,89.3438,196.5565,107.2126,89.3438,107.2126,13.641666666666666,11.825000000000001,7.333333333333333,1016.7478260869566,314.1666666666667,4.829166666666667,1,6
2016-01-04,2448.0209,102.00087083333334,71.4751,125.0814,107.2126,107.2126,107.2126,12.920833333333334,3.504166666666667,10.0,1016.5,283.3333333333333,4.541666666666667,1,0
2016-01-05,2501.6272,104.23446666666666,89.3438,125.0814,107.2126,89.3438,107.2126,14.6875,7.991666666666667,,1023.5041666666666,115.41666666666667,6.2625,1,1
2016-01-06,2519.496,104.979,89.3438,142.9502,89.3438,107.2126,107.2126,15.454166666666666,13.170833333333334,1.3333333333333333,1021.1999999999999,281.6666666666667,5.570833333333333,1,2
2016-01-07,2501.6271,104.2344625,89.3438,196.5565,107.2126,89.3438,107.2126,16.933333333333334,14.325000000000001,-1.0,1016.3086956521738,229.0909090909091,3.3666666666666667,1,3
2016-01-08,2376.5456,99.02273333333333,89.3438,125.0814,89.3438,89.3438,89.3438,17.5625,16.304166666666667,27.666666666666668,1013.3130434782609,73.75,2.1083333333333334,1,4
2016-01-09,2894.7402,120.614175,71.4751,214.4252,107.2126,89.3438,107.2126,17.662499999999998,16.4375,40.0,1011.6750000000001,107.08333333333333,1.9875,1,5
2016-01-10,3877.5228,161.56345000000002,89.3438,393.1129,125.0814,214.4252,125.0814,18.075,14.629166666666668,20.0,1013.6583333333333,260.4166666666667,4.5375,1,6
2016-01-11,6575.707,298.89577272727274,89.3438,679.0133,268.0315,107.2126,223.3596,10.5875,3.475,,1021.3708333333334,257.39130434782606,3.579166666666666,1,0
2016-01-12,5432.1057,258.6717,89.3438,643.2757,142.9502,232.294,232.294,11.183333333333332,0.5166666666666666,,1022.1750000000001,330.0,3.2083333333333335,1,1
2016-01-13,6254.0693,297.8128238095238,89.3438,732.6196,107.2126,268.0315,214.4252,11.695833333333333,1.3375000000000001,,1022.9666666666667,266.25,3.3041666666666667,1,2
