timestamp,Panther_lodging_Dianna,Panther_lodging_Dean,Panther_lodging_Cora,Panther_parking_Lorriane,Panther_parking_Asia,Panther_lodging_Kara,Panther_lodging_Drew,Panther_lodging_Ricky,Panther_parking_Clarence,Panther_parking_Adela,Panther_lodging_Heather,Panther_office_Daina,Panther_lodging_Arlene,Panther_office_Catherine,Panther_other_Bethel,Panther_lodging_Paulette,Panther_other_Iva,Panther_education_Richard,Panther_parking_Jody,Panther_office_Woodrow,Panther_education_Aurora,Panther_office_Kristen,Panther_office_Antonette,Panther_office_Valarie,Panther_lodging_Georgie,Panther_lodging_Shelia,Panther_lodging_Juliet,Panther_parking_Stanley,Panther_lodging_Bonnie,Panther_lodging_Aaron,Panther_education_Karri,Panther_lodging_Jacquelyn,Panther_education_Lacey,Panther_lodging_Marlyn,Panther_lodging_Janice,Panther_office_Larry,Panther_lodging_Otis
2016-01-01 00:00:00,0.0,0.0,0.0,7.8737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2016-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.1356,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,378.541,1.1356,0.0
2016-01-01 02:00:00,0.0,0.0,28.3906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.1356,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2016-01-01 03:00:00,0.0,0.0,6.8137,1018.8052,0.0,0.0,6813.738,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,378.541,1.1356,0.0
2016-01-01 04:00:00,0.0,0.0,3.4069,12.454,0.0,0.0,5299.574000000001,0.0,0.0,0.0,0.0,,0.0,4.921,0.0,378.541,0.0,0.0,0.0,1.1356,0.0,0.0,8.3279,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,378.541,0.0,378.541
2016-01-01 05:00:00,0.0,0.0,4.5425,13.6653,0.0,0.1136,4542.492,4542.492,0.0,0.0,0.0,,0.0,3.4069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2712,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2016-01-01 06:00:00,0.0,0.0,0.0,11.4319,0.0,0.0,0.0,1892.705,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,1.5142,0.0,0.0,6792.9182,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,378.541,1.5142,0.0
2016-01-01 07:00:00,378.541,0.0,1.1356,11.9619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1861.6646,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2016-01-01 08:00:00,0.0,0.0,11.3562,14.4224,0.0,0.6057,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,378.541,0.0,0.0,0.0,7.1923,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,378.541,1.1356,0.0
2016-01-01 09:00:00,0.0,0.0,13.6275,15.4066,0.0,0.9842,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1356,0.0,0.0,6.0567,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2016-01-01 10:00:00,0.0,0.0,7.9494,13.6653,0.0,0.6057,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0567,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2016-01-01 11:00:00,0.0,0.0,12.8704,15.0281,0.0,0.8706,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6781,0.0,0.0,0.0,0.0,378.541,,,,,0.0,0.0,378.541,0.0,0.0
2016-01-01 12:00:00,0.0,0.0,2.2712,11.8105,0.0,0.1136,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0567,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2016-01-01 13:00:00,0.0,0.0,0.0,10.3342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5425,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2016-01-01 14:00:00,0.0,0.0,0.0,10.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.921,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,378.541,0.0,0.0
2016-01-01 15:00:00,0.0,0.0,1.1356,12.189,0.0,0.1514,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,378.541,0.0,0.0,0.0,6.0567,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2016-01-01 16:00:00,378.541,0.0,0.0,10.7127,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1356,0.0,0.0,7.9494,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2016-01-01 17:00:00,0.0,0.0,0.0,9.5014,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0567,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,378.541,0.0,0.0
2016-01-01 18:00:00,0.0,0.0,0.0,8.8579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.921,0.0,0.0,0.0,0.0,378.541,,,,,0.0,0.0,0.0,0.0,0.0
2016-01-01 19:00:00,0.0,0.0,1.1356,8.8579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5425,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2016-01-01 20:00:00,0.0,0.0,0.0,8.7443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,378.541,0.0,0.0,378.541,0.0,0.0,0.0,1.1356,0.0,0.0,9.4635,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,378.541,1.1356,0.0
2016-01-01 21:00:00,,0.0,0.0,8.5172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.1023,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2016-01-01 22:00:00,10599.148,0.0,0.0,8.7443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9918.5313,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,378.541,1.1356,0.0
2016-01-01 23:00:00,14763.098999999998,0.0,0.0,8.2522,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,23091.001,0.0,,0.0,1.5142,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2016-01-02 00:00:00,3785.41,0.0,0.0,8.2522,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,21576.837000000003,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,378.541,1.5142,0.0
2016-01-02 01:00:00,6813.738,0.0,0.0,8.2522,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,20441.214,,,0.0,0.0,0.0,0.0,8110.998,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0
2016-01-02 02:00:00,8706.443000000001,,4.5425,10.4477,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,2.2712,0.0,23469.542,,,0.0,0.0,0.0,0.0,10426.9118,0.0,0.0,,0.0,0.0,,,,,,0.0,378.541,0.0,5299.574000000001
2016-01-02 03:00:00,10599.148,,0.0,12.2269,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,23469.542,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,1.1356,6056.656
2016-01-02 04:00:00,,,18.17,13.0218,0.0,0.1136,0.0,3785.41,0.0,0.0,0.0,,0.0,1.1356,0.0,20062.673,,0.0,0.0,0.0,,,8715.1494,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,378.541,1.1356,4163.951
2016-01-02 05:00:00,,,1.1356,8.4036,0.0,0.0,0.0,7192.279,0.0,0.0,,,0.0,0.0,0.0,19305.591,,0.0,0.0,0.0,,,2.2712,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,1.1356,4542.492
2016-01-02 06:00:00,1135.623,,0.0,8.3658,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,1.1356,0.0,0.0,12.1133,,0.0,,0.0,0.0,,,,,0.0,0.0,378.541,0.0,2649.7870000000007
2016-01-02 07:00:00,0.0,,2.2712,9.5014,0.0,0.0,0.0,3785.41,0.0,0.0,0.0,,0.0,1.1356,0.0,4921.0329999999985,0.0,0.0,0.0,0.0,0.0,0.0,4.5425,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2016-01-02 08:00:00,0.0,0.0,0.0,8.2522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.921,0.0,0.0,0.0,0.0,378.541,0.0,0.0,0.0,4.921,0.0,0.0,0.0,0.0,378.541,,,,,0.0,0.0,378.541,0.0,0.0
