timestamp,sum_conso,mean_conso,min_conso,max_conso,first_conso,last_conso,median_conso,airTemperature,dewTemperature,precipDepth6HR,seaLvlPressure,windDirection,windSpeed,month,day_of_week
2016-01-01,2818.0658,117.41940833333332,65.5298,196.6166,196.6066,131.07,131.06925,-11.595833333333333,-17.041666666666668,,1034.4666666666667,260.8695652173913,3.033333333333333,1,4
2016-01-02,2359.312,98.30466666666666,0.0,196.6172,131.0825,131.0698,98.30475000000001,-9.566666666666666,-15.0625,,1031.3291666666667,215.65217391304347,1.9625000000000001,1,5
2016-01-03,2490.3858,103.766075,65.5296,196.6131,196.61,65.5376,98.30655,-6.245833333333334,-11.270833333333334,,1026.8708333333334,195.0,1.425,1,6
2016-01-04,1966.101,81.92087500000001,0.0,196.6046,65.53,131.0733,65.54005000000001,-4.354166666666667,-8.116666666666667,,1017.9375,171.7391304347826,1.6083333333333334,1,0
2016-01-05,2621.4415,109.22672916666666,65.53,196.61,196.6039,131.0707,131.0686,0.033333333333333326,-1.3375000000000001,4.666666666666667,1011.9857142857143,122.08333333333333,1.3166666666666667,1,1
2016-01-06,1900.5720000000001,79.1905,0.0,196.6172,131.0674,65.5325,65.54,1.4708333333333334,-0.04583333333333334,26.666666666666668,1007.3041666666667,112.6086956521739,1.3333333333333333,1,2
2016-01-07,1638.4022,68.26675833333333,0.0,131.0827,131.0674,131.0696,65.53965,0.5,0.19999999999999998,25.5,1006.8409090909091,179.58333333333334,1.9208333333333334,1,3
2016-01-08,2359.3012,102.57831304347826,0.0,262.1499,196.6053,196.6166,65.54,-0.375,-2.066666666666667,,1012.9739130434783,201.66666666666666,1.6666666666666667,1,4
2016-01-09,3342.3278999999998,139.26366249999998,0.0,262.1507,262.1344,196.5974,131.0754,-1.4166666666666667,-3.4416666666666664,-1.0,1021.0458333333332,78.69565217391305,0.9,1,5
2016-01-10,2555.9161,106.49650416666667,65.5274,262.15,262.15,65.5433,65.5429,-2.7083333333333335,-5.233333333333333,1.0,1025.3772727272726,118.33333333333333,1.1375,1,6
2016-01-11,2228.2078,92.84199166666667,0.0,196.6126,131.07,196.6126,65.5399,-6.9750000000000005,-11.083333333333334,,1032.4666666666667,175.0,3.345833333333333,1,0
