sum_conso,mean_conso,min_conso,max_conso,first_conso,last_conso,median_conso,airTemperature,cloudCoverage,dewTemperature,precipDepth1HR,precipDepth6HR,seaLvlPressure,windDirection,windSpeed,month,day_of_week
6997.0535,291.54389583333335,199.9825,400.0,200.0,297.0534,300.0,5.3875,0.0,3.8791666666666664,,0.0,1016.9416666666666,116.66666666666669,4.470833333333333,1,4
5102.9466,212.622775,199.4328,300.0,202.9466,200.0,200.0,9.783333333333331,,9.183333333333334,,15.0,998.0875,166.66666666666666,7.241666666666666,1,5
6000.0,250.0,200.0,316.725,200.0,300.0,250.0,7.954166666666667,0.0,6.6875,,6.0,991.8375,187.91666666666663,5.633333333333333,1,6
6000.0,250.0,200.0,300.0,300.0,300.0,250.0,7.841666666666666,0.0,6.508333333333333,,0.0,982.7666666666668,177.08333333333334,4.145833333333333,1,0
5035.9351,209.83062916666665,162.002,300.0,235.9351,200.0,200.0,7.904166666666666,,7.058333333333334,,0.5,984.7125,175.41666666666666,2.75,1,1
6095.5481,253.98117083333332,200.0,300.1484,295.548,266.7961,264.0351,6.341666666666666,,5.958333333333333,,1.0,994.2333333333332,193.33333333333337,2.0083333333333333,1,2
6468.5169,269.52153749999997,100.0,400.0,356.8416,311.6753,277.9382,7.1000000000000005,0.0,4.5375000000000005,,30.0,988.8541666666666,215.0,6.645833333333333,1,3
7302.1617,304.2567375,200.0,400.0,302.1617,200.0,300.0,5.833333333333333,0.0,4.220833333333333,,-0.5,999.2916666666666,191.25,3.6375,1,4
5597.838299999999,233.2432625,199.4782,388.318,211.0399,388.318,200.0,8.741666666666667,,7.233333333333333,,3.0,990.208695652174,171.66666666666666,5.691666666666666,1,5
7299.9999,304.1666625,200.0,400.0,289.2445,300.0,300.0,6.2250000000000005,0.0,3.779166666666667,,20.0,985.0458333333332,190.41666666666663,4.941666666666666,1,6
6899.9999,287.49999583333334,199.8146,400.0,326.7672,373.2328,300.0,5.916666666666667,0.0,4.995833333333333,,15.0,982.8875,225.83333333333337,3.9583333333333335,1,0
7900.0,329.1666666666667,200.0,468.8506,337.0933,362.9067,331.5675,5.3875,0.0,3.0,,0.0,998.0363636363636,264.1666666666667,6.825,1,1
8351.6815,347.9867291666667,200.0,459.1453,351.6815,400.0,352.5522,4.75,0.0,1.7625,,2.0,1013.1125,235.41666666666663,5.0375,1,2
9890.2341,412.0930875,348.5617,499.5845,441.6723,457.8735,400.11805,3.7125,0.0,0.1583333333333333,,11.0,1007.075,271.25,6.3,1,3
9993.5894,416.39955833333335,300.0,538.7642,458.3073,435.2821,400.0,2.970833333333333,0.0,-0.6916666666666668,,0.0,1020.1826086956522,292.9166666666667,4.341666666666667,1,4
10590.5358,441.272325,328.7583,500.0,490.5359,500.0,433.721,2.3041666666666667,0.0,-0.4916666666666667,,0.0,1028.7708333333333,282.9166666666667,2.325,1,5
11189.8697,466.2445708333333,400.0,577.0738,473.0674,416.8024,480.03685,2.370833333333333,,1.0291666666666666,,12.0,1025.4708333333333,108.75,3.545833333333333,1,6
10089.6437,420.4018208333334,300.0,500.0,489.6437,500.0,400.0,3.216666666666667,0.0,0.45,,-0.5,1014.9875,115.0,4.483333333333333,1,0
10694.4457,445.60190416666666,300.0,503.7713,494.4458,407.434,449.58375,0.5541666666666666,0.0,-4.041666666666667,,0.0,1017.0583333333334,212.5,0.9625,1,1
9700.0,404.1666666666667,200.0,511.7946,400.0,400.0,400.0,0.175,0.0,-2.091666666666667,,0.0,1020.475,229.16666666666663,1.2916666666666667,1,2
8500.0,354.1666666666667,200.0,500.0,400.0,300.0,339.60630000000003,3.3375,0.0,0.7166666666666667,,0.0,1021.25,130.41666666666666,3.5083333333333333,1,3
6400.0,266.6666666666667,200.0,400.0,309.7047,266.9216,300.0,7.5375,0.0,5.804166666666667,,5.0,1017.55,188.75,5.204166666666667,1,4
6000.0001,250.00000416666668,200.0,300.0,300.0,200.0,250.0,7.3875,0.0,6.5375000000000005,,0.0,1028.75,194.16666666666663,3.7125,1,5
